Animal,Vaccine,Neutralization SIVmac251.6.ID#1050 (Tier1)
M935,ALVAC/SIV +gp120-MF59,156582
P120,ALVAC/SIV +gp120-MF59,63937
P263,ALVAC/SIV +gp120-MF59,50651
P431,ALVAC/SIV +gp120-MF59,31341
P436,ALVAC/SIV +gp120-MF59,86813
P625,ALVAC/SIV +gp120-MF59,34221
P628,ALVAC/SIV +gp120-MF59,29084
P639,ALVAC/SIV +gp120-MF59,85187
P661,ALVAC/SIV +gp120-MF59,87904
P662*,ALVAC/SIV +gp120-MF59,122022
P668,ALVAC/SIV +gp120-MF59,114118
P692* ,ALVAC/SIV +gp120-MF59,435053
P700*,ALVAC/SIV +gp120-MF59,91678
P708,ALVAC/SIV +gp120-MF59,50031
P734,ALVAC/SIV +gp120-MF59,69788
P742,ALVAC/SIV +gp120-MF59,122715
P753,ALVAC/SIV +gp120-MF59,88954
P767,ALVAC/SIV +gp120-MF59,293847
P773,ALVAC/SIV +gp120-MF59,53167
P787,ALVAC/SIV +gp120-MF59,62058
P833,ALVAC/SIV +gp120-MF59,200602
P837,ALVAC/SIV +gp120-MF59,53474
P864,ALVAC/SIV +gp120-MF59,78255
P868,ALVAC/SIV +gp120-MF59,91497
P891,ALVAC/SIV +gp120-MF59,176426
R155,ALVAC/SIV +gp120-MF59,59192
R159,ALVAC/SIV +gp120-MF59,376754
P382,ALVAC/SIV +gp120-ALUM,70972
P435,ALVAC/SIV +gp120-ALUM,105805
P615*,ALVAC/SIV +gp120-ALUM,23515
P621,ALVAC/SIV +gp120-ALUM,52705
P636,ALVAC/SIV +gp120-ALUM,82428
P726,ALVAC/SIV +gp120-ALUM,35086
P755,ALVAC/SIV +gp120-ALUM,33528
P770,ALVAC/SIV +gp120-ALUM,38405
P838,ALVAC/SIV +gp120-ALUM,20269
P839,ALVAC/SIV +gp120-ALUM,195340
P842,ALVAC/SIV +gp120-ALUM,55723
P843,ALVAC/SIV +gp120-ALUM,20847
P847*,ALVAC/SIV +gp120-ALUM,57299
P852,ALVAC/SIV +gp120-ALUM,83085
P853,ALVAC/SIV +gp120-ALUM,435862
P857,ALVAC/SIV +gp120-ALUM,39666
P858,ALVAC/SIV +gp120-ALUM,28121
P877,ALVAC/SIV +gp120-ALUM,129605
P884,ALVAC/SIV +gp120-ALUM,32287
P888,ALVAC/SIV +gp120-ALUM,115480
P890,ALVAC/SIV +gp120-ALUM,57835
P894,ALVAC/SIV +gp120-ALUM,52147
P897*,ALVAC/SIV +gp120-ALUM,32557
P898,ALVAC/SIV +gp120-ALUM,19270
P899,ALVAC/SIV +gp120-ALUM,46737
P901,ALVAC/SIV +gp120-ALUM,41931
R163,ALVAC/SIV +gp120-ALUM,33271
P434*,NAIVE,<400
P604,ALUM,<400
P609,ALVAC MOCK MF59,<400
P650,ALUM,<400
P701*,MF59,<400
P730,NAIVE,<400
P731,NAIVE,<400
P732,MF59,<400
P746,ALVAC MOCK MF59,<400
P754,ALVAC MOCK MF59,<400
P760,ALUM,<400
P876,MF59,<400
