Animal,Vaccine,Serum-Guroff.ADCC titers
M935,ALVAC/SIV +gp120-MF59,100000
P120,ALVAC/SIV +gp120-MF59,200000
P263,ALVAC/SIV +gp120-MF59,100000
P431,ALVAC/SIV +gp120-MF59,1000000
P436,ALVAC/SIV +gp120-MF59,1000000
P625,ALVAC/SIV +gp120-MF59,1000000
P628,ALVAC/SIV +gp120-MF59,10000000
P639,ALVAC/SIV +gp120-MF59,100000
P661,ALVAC/SIV +gp120-MF59,100000
P662*,ALVAC/SIV +gp120-MF59,10000
P668,ALVAC/SIV +gp120-MF59,10000
P692* ,ALVAC/SIV +gp120-MF59,10000
P700*,ALVAC/SIV +gp120-MF59,10000
P708,ALVAC/SIV +gp120-MF59,100000
P734,ALVAC/SIV +gp120-MF59,100000
P742,ALVAC/SIV +gp120-MF59,10000
P753,ALVAC/SIV +gp120-MF59,10000
P767,ALVAC/SIV +gp120-MF59,100000
P773,ALVAC/SIV +gp120-MF59,100000
P787,ALVAC/SIV +gp120-MF59,10000
P833,ALVAC/SIV +gp120-MF59,10000
P837,ALVAC/SIV +gp120-MF59,10000
P864,ALVAC/SIV +gp120-MF59,100000
P868,ALVAC/SIV +gp120-MF59,100000
P891,ALVAC/SIV +gp120-MF59,10000
R155,ALVAC/SIV +gp120-MF59,10000
R159,ALVAC/SIV +gp120-MF59,100000
P382,ALVAC/SIV +gp120-ALUM,100000
P435,ALVAC/SIV +gp120-ALUM,100000
P615*,ALVAC/SIV +gp120-ALUM,1000
P621,ALVAC/SIV +gp120-ALUM,100000
P636,ALVAC/SIV +gp120-ALUM,10000
P726,ALVAC/SIV +gp120-ALUM,100
P755,ALVAC/SIV +gp120-ALUM,100
P770,ALVAC/SIV +gp120-ALUM,10000
P838,ALVAC/SIV +gp120-ALUM,1000
P839,ALVAC/SIV +gp120-ALUM,10000
P842,ALVAC/SIV +gp120-ALUM,1000
P843,ALVAC/SIV +gp120-ALUM,10000
P847*,ALVAC/SIV +gp120-ALUM,1000
P852,ALVAC/SIV +gp120-ALUM,1000
P853,ALVAC/SIV +gp120-ALUM,10000
P857,ALVAC/SIV +gp120-ALUM,10000
P858,ALVAC/SIV +gp120-ALUM,1000
P877,ALVAC/SIV +gp120-ALUM,1000
P884,ALVAC/SIV +gp120-ALUM,10000
P888,ALVAC/SIV +gp120-ALUM,10000
P890,ALVAC/SIV +gp120-ALUM,1000
P894,ALVAC/SIV +gp120-ALUM,100000
P897*,ALVAC/SIV +gp120-ALUM,1000
P898,ALVAC/SIV +gp120-ALUM,10000
P899,ALVAC/SIV +gp120-ALUM,10000
P901,ALVAC/SIV +gp120-ALUM,10000
R163,ALVAC/SIV +gp120-ALUM,10000
P434*,NAIVE,1
P604,ALUM,1
P609,ALVAC MOCK MF59,1
P650,ALUM,1
P701*,MF59,1
P730,NAIVE,
P731,NAIVE,
P732,MF59,
P746,ALVAC MOCK MF59,
P754,ALVAC MOCK MF59,
P760,ALUM,
P876,MF59,
