Sample name,title,source name,organism,idat file,characteristics: tissue,characteristics: donor,characteristics: vaccination group,characteristics: vaccination time,characteristics: time after immunization,characteristics: number of SIV challenge to infection,molecule,label,description,platform
P162_M935_post1st,post-1st immunization blood sample from donor M935,Blood sample from donor M935,Macaca mulatta,9252621094_C_Grn.idat,Blood,M935,ALVAC-SIV/gp120/MF59,post-1st immunization,24 hours,3,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_M935_prevax,pre-vaccination blood sample from donor M935,Blood sample from donor M935,Macaca mulatta,9231092020_K_Grn.idat,Blood,M935,ALVAC-SIV/gp120/MF59,pre-vaccination,pre,3,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
P162_M935_post3rd,post-3rd immunization blood sample from donor M935,Blood sample from donor M935,Macaca mulatta,9252621094_I_Grn.idat,Blood,M935,ALVAC-SIV/gp120/MF59,post-3rd immunization,24 hours,3,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/MF59 boosting (week 12),GPL10558
P162_P120_post1st,post-1st immunization blood sample from donor P120,Blood sample from donor P120,Macaca mulatta,9252621091_D_Grn.idat,Blood,P120,ALVAC-SIV/gp120/MF59,post-1st immunization,24 hours,1,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_P120_prevax,pre-vaccination blood sample from donor P120,Blood sample from donor P120,Macaca mulatta,9252621094_B_Grn.idat,Blood,P120,ALVAC-SIV/gp120/MF59,pre-vaccination,pre,1,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
P162_P120_post3rd,post-3rd immunization blood sample from donor P120,Blood sample from donor P120,Macaca mulatta,9231092016_C_Grn.idat,Blood,P120,ALVAC-SIV/gp120/MF59,post-3rd immunization,24 hours,1,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/MF59 boosting (week 12),GPL10558
P162_P263_post1st,post-1st immunization blood sample from donor P263,Blood sample from donor P263,Macaca mulatta,9252621077_D_Grn.idat,Blood,P263,ALVAC-SIV/gp120/MF59,post-1st immunization,24 hours,8,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_P263_prevax,pre-vaccination blood sample from donor P263,Blood sample from donor P263,Macaca mulatta,9252621091_G_Grn.idat,Blood,P263,ALVAC-SIV/gp120/MF59,pre-vaccination,pre,8,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
P162_P263_post3rd,post-3rd immunization blood sample from donor P263,Blood sample from donor P263,Macaca mulatta,9231092001_H_Grn.idat,Blood,P263,ALVAC-SIV/gp120/MF59,post-3rd immunization,24 hours,8,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/MF59 boosting (week 12),GPL10558
P162_P382_post1st,post-1st immunization blood sample from donor P382,Blood sample from donor P382,Macaca mulatta,9231092091_H_Grn.idat,Blood,P382,ALVAC-SIV/gp120/Alum,post-1st immunization,24 hours,1,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
